source,condition_tag,section,resource_type,content,url,collection
Wikipedia,general,Mental health in India,condition_info,"Top left: The Union Health Minister Harsh Vardhan inspecting equipment used in treatment of mentally ill patients at National JALMA Institute in 2014. Top right: President Mukherjee awarding Chief Nursing Officer, NIMHANS. India has only 0.8 mental health nurses per 100000 people. Bottom left: President Kalam inaugurating a national seminar on the theme ""Mentally Ill Women – is Destitution the only Answer?"" in 2007. Bottom right: Indian Clinical Psychologist H. Narayan Murthy; former head of the department of Clinical psychology, NIMHANS Mental healthcare in India is a right secured to every person in the country by law.[1] Indian mental health legislation, as per a 2017 study, meets 68% (119/175) of the World Health Organization (WHO) standards laid down in the WHO Checklist of Mental Health Legislation.[2] However, human resources and expertise in the field of mental health in India is significantly low when compared to the population of the country.[3] The allocation of the national healthcare budget to mental health is also low, standing at 0.16%.[3][4] India's mental health policy was released in 2014.[5] The first Western-style mental healthcare institutions date back to the factories of the East India Company in the 17th century. Mental healthcare in colonial India and the years post-independence was custodial and segregationist. It slowly moved towards a more curative and therapeutic nature by the end of the 20th century. Public interest litigations and judicial intervention, followed by reviews and monitoring of the National Human Rights Commission and National Institute of Mental Health and Neurosciences, coupled with an expansion of facilities for developing human resources in the field of mental healthcare, among other changes, has all positively contributed to the state of mental health and healthcare in the country.",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,History,condition_info,"Modern psychiatry in the Indian subcontinent dates back to the factories of the East India Company in the 17th century. The first asylum was established in Bombay in 1745 and the second at Calcutta in 1784, both only for Europeans.[6][7] Dr LP Varma, First Assistant Superintendent, Indian Mental Hospital, Ranchi observed in 1953, ""The history of Psychiatry in this country is the history of establishment of mental hospitals and then increasing its accommodation from time to time as the exigencies of the time demand"".[8][9]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,Moore Taylor's survey and Bhore Committee Report 1946,condition_info,"The Bhore Committee found that the position of mental health and mental healthcare in India was ""extremely unsatisfactory"".[10] Colonel Moore Taylor, I.M.S., Medical Superintendent, Ranchi European Mental Hospital, reviewed all the major mental health hospitals in the country, the findings of which were presented in the Bhore Committee Report. Colonel Taylor noted that ""Every mental hospital which I have visited is disgracefully under-staffed"" as well as run by unqualified staff, lacking experience and training.[10] However in certain cases such as the Child Guidance Clinic of the Sir Dorabji Tata Institute of Social Sciences, Col Taylor commented that he was ""greatly impressed by the work"".[11]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,PILs and judicial intervention,condition_info,"1980s onwards, public interest litigations (PILs) in India have been successful in bringing forward ""horror tales of insane prisoners"", ""mental hospital (used as) dumping ground(s) for (the) unwanted"" and the ""callous conditions (that) plague (the) dustbins of society"".[12] PILs have resulted in courts to investigate the dismal workings of mental institutions such as the government run Shahdara Mental Hospital (BR Kapoor vs. Union of India 1983 and People's Union for Civil Liberties vs. Union of India 1983) and Trivandrum Mental Home resulting in substantial improvements.[13][14] One of the first cases in this regard was Upendra Baxi vs. State of UP in 1983 concerning the human rights of the inmates of a Protective Home[a] at Agra.[15][14] PILs subsequently raised issues concerning mentally ill prisoners (Veena Sethi vs. State of Bihar 1982) and the detention of those with intellectual disability (Sheila Barse and others vs. Union of India and Ors 1986).[14] In 1988, in the case of Rakesh Chandra Narayan v. State of Bihar, the petitioners wrote a letter to the Supreme Court in 1985 regarding the dismal working of a mental hospital in Ranchi, Bihar.[16] Following a court initiated review of the mental hospital by the Chief Judicial Magistrate as well as a later review by the Union Health Secretary, M.S. Dayal, the court held that the mental hospital resembled a ""medieval torture house"" and that a complete renovation was needed.[16] The services of a psychiatrist were acknowledged by the Supreme Court.[17] This kind of judicial intervention has resulted in changes in the conditions of mental hospitals which have been brought before the court. Further, the Supreme Court decided to ""keep the case(s) alive on its files so that the improvements which have emanated due to interest and supervision of the court are not wiped out once it withdraws its scrutiny"".[18] However, while the courts gave direction to improve mental hospitals, it did not pronounce judgement on the laws that were in contradiction to the efforts of the courts, such as the Lunacy Act 1912.[19] In November 1997, in response to the PILs the Supreme Court directed the National Human Rights Commission (NHRC) to monitor specific mental hospitals across the country.[14]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,"NHRC review in 1999, 2008 and 2013",condition_info,"Apart from the supervision of three mental hospitals across the country the NHRC supported an initiative on ""Quality Assurance in Mental Health"" undertaken by the National Institute of Mental Health and Neurosciences (NIMHANS) between 1997 and 1999.[14] This landmark report involved ""37 government psychiatric institutions, 7 private psychiatric institutions, and 23 general psychiatric units"" across the country.[14] The report revealed glaring deficiencies and violations. 7 hospitals were rated very poor, 8 poor, 11 average and 6 good.[14] The hospitals in the good category had adequate basic living conditions, but were nevertheless lacking in terms of service quality.[20] ""Overall, mental health care in the mental hospitals was custodial rather than therapeutic"".[20] Pratima Murthy from NIMHANS writes that the report was a landmark in ""highlighting the state of mental health services in India. However, the report, like many others before it may have disappeared into oblivion, had it not been for the Erwadi tragedy"".[14] In 2008 a follow-up review was conducted of government run hospitals.[21] Overall, the report found that immense changes had been made in the last decade.[22] Positive changes included improved infrastructure, improvements in diet, greater integration of community activities and improved budgetary allocations. The positive changes were attributed to separate budgets for hospitals, monitoring by agencies such as NHRC, involvement of the leadership and raising awareness of the families related to patient care.[22] Poor progress had been made in the area of human resources including lack of adequately qualified staff and lack of post graduate training. This poor progress was attributed to various reasons such as social isolation of the institutions, large bed strengths and lack of state government involvement in areas such as release of funds and supporting change.[22] In 2013, the court formed another team to review the overall situation of mental healthcare in the country.[23][14] Observations from this included lack of information related to mental health and mental healthcare in many regions of the country, a bed ratio well below the global ratio and that there are more than 325 NGOs in the mental healthcare among other things.[14]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,National Mental Health Programme,condition_info,"The National Mental Health Programme (NMHP) was initiated in 1982,[24] aimed at developing community based mental health services.[7][25] NMHP was operationalised in 1996 as the District Mental Health Program (DMHP) based on a pilot programme, later known as the 'Bellary Model', that had been conducted in 1980 in the district of Bellary, Karnataka.[25][26] Since its inception, the scope of the NMHP has increased, visible in the increase in its budgetary from ₹28 crore (equivalent to ₹143 crore or US$15 million in 2023) during the 9th Five-Year Plan (1997–2002) to ₹1,000 crore (equivalent to ₹30 billion or US$310 million in 2023) during the 11th Five Year Plan (2007–2012).[25] The aim was that DMHP would cover all the districts by 2025. By 2015, DMHP was present in 27% of the districts.[14] An objective of the NMHP is to integrate knowledge of mental healthcare with general healthcare.[24][27] At the first Global Ministerial Conference on Healthy Lifestyles and Noncommunicable Diseases, organised by the WHO and the Government of Russia in 2011 and attended by 162 countries,[28] following India's insistence, mental health was included in the list of noncommunicable diseases.[29][14]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,Timeline,condition_info,"Moore Taylor's survey and Bhore Committee report 1946 Medical superintendents workshops at Agra (1960), Ranchi (1986), Bangalore (1988) and New Delhi (1990) District Mental Health Program (DMHP) under NMHP in 1996[33] Erwadi fire incident 2001 and following DGHS report Tele MANAS (Tele Mental Health Assistance And Networking Across States) 2022[35]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,Lunacy legislation,condition_info,"Lunacy legislation in British India included the Lunatic Removal Act 1851, the Indian Lunatic Asylum Act 1858, the Military Lunatic Act 1877, and a bunch of others related to lunacy along with their amendments.[36] The first law to govern mental health in India was the Indian Lunacy Act 1912,[36] which itself drew heavily from the English Lunatics Act 1845.[37] The Indian Psychiatric Society suggested a draft in 1950, however it was only given assent by the President in May 1987, and implemented in 1993 as the Mental Health Act 1987. Criticism of the Mental Health Act 1987 led to the Mental Health Care Bill 2013, which was finally passed as the Mental Healthcare Act, 2017.[36]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,Right to mental healthcare,condition_info,"India made efforts to align its disability and mental health laws with the UN Convention on the Rights of Persons with Disabilities, visible in the passage of the Rights of Persons with Disabilities Act, 2016 and the Mental Healthcare Act, 2017.[38] The Mental Healthcare Act states the rights of persons with mental illness, including the right to mental healthcare. Section 18 states that ""Every person shall have a right to access mental healthcare and treatment from mental health services run or funded by the appropriate Government"" and that ""the right to access mental healthcare and treatment shall mean mental health services of affordable cost, of good quality, available in sufficient quantity, accessible geographically, without discrimination on the basis of gender, sex, sexual orientation, religion, culture, caste, social or political beliefs, class, disability or any other basis and provided in a manner that is acceptable to persons with mental illness and their families and care-givers.""[1] The Mental Healthcare Act addresses 96/175 (55.4%) of the WHO Checklist of Mental Health Legislation,[39] the concordance increases to 68% when other relevant laws are considered. Low concordance areas include the rights of careers, competence and involuntary community treatment.[40]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
Wikipedia,general,Insurance to mental healthcare,condition_info,"Section 21(4)A of the Mental Healthcare Act, 2017, provides that there should be no discrimination between mental illnesses and physical illness, and that every insurer shall make provision for medical insurance for treatment of mental illness on the same basis as is available for treatment of physical illness. However, the majority of insurance companies exclude large number of mental conditions from full coverage of the policy.[41]",https://en.wikipedia.org/wiki/Mental_health_in_India,india_resources
