source,condition_tag,section,resource_type,content,url,collection
MedlinePlus,depression,What is depression?,condition_info,"Depression is more than a feeling of being sad or irritable for a few days. It's a serious mood disorder. As one of the most common mental disorders in the United States, depression can affect how you think, feel, and your everyday life. You may not know why you feel this way, but even basic daily activities such as sleeping, eating, or working may become difficult. Depression often needs long-term treatment but getting help at the earliest sign of a problem can help manage your symptoms.",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,What are the different types of depression?,condition_info,"The most common types of depression are major depression and persistent depressive disorder. Major depression symptoms include a depressed mood or a loss of interest. Symptoms affect your daily activities and last for at least two weeks. Persistent depressive disorder (also called dysthymia or dysthymic disorder) has less severe depressive symptoms, but they last longer, usually for at least two years. Seasonal affective disorder comes and goes with the seasons. It usually starts in late fall and early winter and goes away during the spring and summer. Bipolar disorder is sometimes called manic depression. This mood disorder can cause intense mood swings. Depression with symptoms of psychosis is a severe form of depression that also has delusions (false beliefs) or hallucinations (seeing, hearing, or feeling something that isn't there).",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,What causes depression?,condition_info,"There are a variety of things that may cause depression, including genetic, biological, environmental, and psychological factors. Depression can happen at any age and can affect anyone, but it's more common in women. This is often due to the physical and hormonal changes that women have during menstruation, pregnancy, the postpartum period, and menopause. Other mental disorders or chronic medical conditions such as diabetes, cancer, or heart disease may occur with depression. This may make the chronic condition or depression worse. In some cases, there is no clear cause for depression.",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Who is at risk of depression?,condition_info,You may be at a higher risk of depression if you have a close relative who has it or another mental health disorder. Going through trauma or stressful life events may raise your risk even more.,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,What are the symptoms of depression?,condition_info,"Depression doesn't look the same on everyone. The type and number of symptoms of depression can vary and don't always appear like sadness. Depression may affect you differently based on your: Age. The symptoms of depression may be different in a child, who may appear more irritable than sad. Teens may act out or have excessive sleepiness. The symptoms for an older adult may not be as obvious as other age groups. Sex. Men often show symptoms and coping behaviors differently than women. Rather than sad, men may appear angry or irritable. Medical conditions. Some medicines and medical conditions may cause symptoms that look like depression. Chronic conditions may make depression worse. Symptoms of depression are ongoing and affect your day-to-day life. They can include: Overeating, or not wanting to eat at all Having aches and pains, headaches, cramps, or digestive problems",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,How is depression diagnosed?,condition_info,"If you think you have depression, talk to your health care provider or a mental health provider. To be diagnosed with depression, your provider may use many tools: A medical history will include asking about your symptoms and family history. To be diagnosed with depression, your symptoms must occur most of the day, nearly every day, for at least two weeks. One of the symptoms must be a depressed mood or a loss of interest in most activities. Medical tests may be done to rule out other medical conditions. Certain medicines and medical conditions (such as viruses or thyroid disorders) may cause symptoms like depression. A physical exam to make sure another issue isn't causing your symptoms. A mental health evaluation by your provider or a mental health provider.",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,What are the treatments for depression?,condition_info,"Depression may need long-term treatment. Most treatments include medicines and/or psychotherapy (talk therapy): Medicines such as antidepressants may help control your symptoms. You may need to try several medicines to find which works best for you. Medicine may take time to work and can have side effects. Don't stop taking your medicine without first talking with your provider. Contact your provider if you have any concerns about side effects from the medicine. Psychotherapy (talk therapy) under the care of a mental health provider can help you recognize and change troubling emotions, thoughts, and behaviors. This may be done one-on-one or in a group setting. It can give you and your family support, education, skills, and coping strategies. Light therapy has been shown to be effective for seasonal affective disorder (SAD). Other treatments options may be considered if treatment isn't working or if depression is severe. These may include: Electroconvulsive therapy (ECT) is a brain stimulation procedure that uses a mild electric current when you are under general anesthesia. ECT is most often used for severe depression that is not getting better with other treatments. Repetitive transcranial magnetic stimulation (rTMS) is a brain stimulation procedure that uses magnetic waves to relieve depression. It's not as powerful as ECT, but with rTMS, you don't need anesthesia. It also has a low risk of negative effects on your memory and thinking. Electroconvulsive therapy (ECT) is a brain stimulation procedure that uses a mild electric current when you are under general anesthesia. ECT is most often used for severe depression that is not getting better with other treatments. Repetitive transcranial magnetic stimulation (rTMS) is a brain stimulation procedure that uses magnetic waves to relieve depression. It's not as powerful as ECT, but with rTMS, you don't need anesthesia. It also has a low risk of negative effects on your memory and thinking.",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Can depression be prevented?,condition_info,"Most cases of depression can't be prevented, but healthy lifestyle changes can have long-term benefits for your mental health. These can include: If you, or someone you love is depressed, see your provider or a mental health provider. It's important to get treatment at the earliest sign of a problem. If you or someone you know has thoughts of hurting themselves or attempting suicide, get help right away. If it is an emergency, dial 911.",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Treatments and Therapies,condition_info,8 Things To Know about Depression and Complementary Health Approaches (National Center for Complementary and Integrative Health) Antidepressants: MedlinePlus Health Topic (National Library of Medicine) Also in Spanish Brain Stimulation Therapies (National Institute of Mental Health) Depression Treatment (Centers for Disease Control and Prevention) Know Your Treatment Options (University of Michigan Depression Center) Psychedelic and Dissociative Drugs as Medicines (National Institute on Drug Abuse) Also in Spanish St. John's Wort and Depression (National Center for Complementary and Integrative Health) When Sadness Lingers: Understanding and Treating Depression (National Institutes of Health) Also in Spanish,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Living With,condition_info,Coping at Work (University of Michigan Depression Center) Depression and Anxiety: Exercise Eases Symptoms (Mayo Foundation for Medical Education and Research) Also in Spanish Depression: Coping with Suicidal Thoughts (American Academy of Family Physicians) Depression: Supporting a Family Member or Friend (Mayo Foundation for Medical Education and Research) Also in Spanish Metabolic Side Effects of Psychiatric Medications (American Association of Psychiatric Pharmacists) - PDF What to Know Before Stopping Medications (Medication Discontinuation) (American Association of Psychiatric Pharmacists) - PDF,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Specifics,condition_info,Clinical Depression: What Does That Mean? (Mayo Foundation for Medical Education and Research) Also in Spanish Depression and Caregiving (Family Caregiver Alliance) Also in Spanish Managing Your Mental Health with Lupus (Lupus Foundation of America) Treatment-Resistant Depression (Mayo Foundation for Medical Education and Research) Also in Spanish,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Find an Expert,condition_info,FindTreatment.gov (Substance Abuse and Mental Health Services Administration) Also in Spanish Help for Mental Illnesses (National Institute of Mental Health) Also in Spanish National Institute of Mental Health Also in Spanish,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Children,condition_info,Anxiety and Depression in Children (Centers for Disease Control and Prevention) Also in Spanish Taking Your Child to a Therapist (Nemours Foundation) Also in Spanish What to Do When You Feel Sad (Nemours Foundation) Also in Spanish,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Women,condition_info,"Depression (Department of Health and Human Services, Office on Women's Health) Also in Spanish Depression and Pregnancy (Organization of Teratology Information Specialists) Also in Spanish Depression in Women: 4 Things to Know (National Institute of Mental Health) Also in Spanish Depression in Women: Understanding the Gender Gap (Mayo Foundation for Medical Education and Research) Also in Spanish",https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Older Adults,condition_info,Depression and Aging (Centers for Disease Control and Prevention) Depression and Older Adults (National Institute on Aging) Also in Spanish Easing Depression in Older Adults (National Institutes of Health) Also in Spanish,https://medlineplus.gov/depression.html,clinical_guidelines
MedlinePlus,depression,Patient Handouts,condition_info,Depression - stopping your medicines (Medical Encyclopedia) Also in Spanish Depression in older adults (Medical Encyclopedia) Also in Spanish Heart disease and depression (Medical Encyclopedia) Also in Spanish Learning about depression (Medical Encyclopedia) Also in Spanish Major depression with psychotic features (Medical Encyclopedia) Also in Spanish Vagus nerve stimulation (Medical Encyclopedia) Also in Spanish,https://medlineplus.gov/depression.html,clinical_guidelines
